cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,percent,used,active,buffers,cached,shared,value
0,3.8,1.9,0,0,0,0,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
0,3.8,0,0,1.9,0,1.9,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
0,3.8,0,0,1.9,0,1.9,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
1.9,2,0,0,0,0,0,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
0,2,0,0,0,0,2,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
0,3.8,3.8,0,0,0,0,0,51.4,1595064320,834228224,397025280,3135877120,1332359168,0
1.9,2,0,1.9,0,1.9,5.6,0,51.4,1595121664,834228224,397025280,3135877120,1332359168,0
0,2,0,0,1.9,1.9,0,0,51.4,1595121664,834228224,397033472,3135868928,1332359168,0
0,3.8,1.9,0,0,0,1.9,0,51.4,1595121664,834228224,397033472,3135868928,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595056128,834228224,397033472,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1595056128,834228224,397033472,3135877120,1332359168,0
0,3.8,1.9,0,0,0,1.9,0,51.4,1595056128,834228224,397033472,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595056128,834228224,397033472,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1595056128,834228224,397033472,3135877120,1332359168,0
0,5.7,0,0,0,1.9,0,0,51.4,1595056128,834228224,397033472,3135877120,1332359168,0
0,3.9,1.9,0,1.9,0,0,0,51.4,1595056128,834244608,397033472,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1595056128,834244608,397033472,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595056128,834244608,397033472,3135877120,1332359168,0
0,3.8,0,0,1.9,0,1.9,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
1.9,3.8,0,0,0,0,0,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,2,1.9,0,0,0,0,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,2,0,0,0,0,1.9,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,2,1.9,0,0,0,0,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,3.8,0,0,0,0,0,1.9,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,3.8,3.8,0,0,0,0,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,3.8,3.8,0,0,0,0,0,51.4,1595047936,834244608,397041664,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595105280,834248704,397049856,3135877120,1332359168,0
0,3.8,1.9,0,0,0,0,0,51.4,1595105280,834248704,397049856,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595105280,834248704,397049856,3135877120,1332359168,0
0,3.8,0,0,1.9,0,1.9,0,51.4,1595105280,834248704,397049856,3135877120,1332359168,0
0,2,0,0,0,1.9,0,0,51.4,1595105280,834248704,397049856,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,1.9,51.4,1595105280,834252800,397049856,3135877120,1332359168,0
0,3.8,3.8,0,0,0,0,0,51.4,1595105280,834260992,397049856,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595105280,834260992,397049856,3135877120,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595105280,834260992,397049856,3135877120,1332359168,0
0,2,0,0,0,1.9,0,0,51.4,1595105280,834260992,397049856,3135877120,1332359168,0
1.9,3.8,0,0,1.9,0,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,2,0,0,0,0,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,3.8,3.8,0,0,0,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,3.8,1.9,0,0,0,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,2,0,0,0,1.9,0,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,2,0,0,0,0,2,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1595105280,834260992,397058048,3135868928,1332359168,0
0,3.8,1.9,0,0,0,2,0,51.4,1595105280,834260992,397066240,3135860736,1332359168,0
0,2,0,0,1.9,0,1.9,0,51.4,1595105280,834260992,397066240,3135860736,1332359168,0
0,2,1.9,0,0,0,0,0,51.4,1595105280,834260992,397066240,3135860736,1332359168,0
0,2,0,0,0,0,0,0,51.4,1595105280,834260992,397066240,3135860736,1332359168,0
1.9,3.8,1.9,0,0,0,0,0,51.4,1595105280,834260992,397066240,3135860736,1332359168,0
0,3.8,0,0,0,0,1.9,0,51.4,1596944384,834260992,397066240,3135860736,1332359168,0
0,2,1.9,0,0,0,0,0,51.4,1596928000,834277376,397066240,3135877120,1332359168,0
0,2,0,0,0,0,1.9,0,51.4,1596928000,834277376,397066240,3135877120,1332359168,0
3.9,0,0,0,0,0,0,0,51.4,1596928000,834277376,397066240,3135877120,1332359168,0
5.7,0,1.9,0,0,0,0,0,51.4,1596928000,834277376,397066240,3135877120,1332359168,0
3.8,0,0,0,1.9,0,0,0,51.4,1596928000,834277376,397066240,3135877120,1332359168,0
2,0,0,0,0,0,0,1.9,51.4,1596928000,834277376,397074432,3135868928,1332359168,0
3.8,0,1.9,0,0,0,0,0,51.4,1596928000,834277376,397074432,3135868928,1332359168,0
2,0,0,0,0,0,0,0,51.4,1596919808,834277376,397074432,3135877120,1332359168,0
3.7,3.8,1.9,0,0,0,0,0,51.4,1596919808,834277376,397074432,3135877120,1332359168,0
0,2,3.8,0,1.9,0,0,0,51.4,1596919808,834277376,397074432,3135877120,1332359168,0
3.8,3.8,1.9,1.9,1.9,0,1.9,0,51.4,1596919808,834277376,397074432,3135877120,1332359168,0
1.9,3.9,0,0,1.9,0,0,0,51.4,1596977152,834277376,397074432,3135877120,1332359168,0
0,3.8,1.9,0,0,0,0,0,51.4,1596977152,834277376,397074432,3135877120,1332359168,0
0,3.8,1.9,0,0,0,0,0,51.4,1596977152,834277376,397074432,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1596919808,834277376,397074432,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1596919808,834277376,397074432,3135877120,1332359168,0
0,3.8,0,0,0,0,0,1.9,51.4,1596919808,834277376,397074432,3135877120,1332359168,0
0,2,0,0,0,0,1.9,0,51.4,1596919808,834277376,397082624,3135868928,1332359168,0
1.9,3.8,1.9,0,0,0,1.9,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
1.9,3.8,3.8,0,0,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
0,3.8,1.9,0,0,0,1.9,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
1.9,3.8,0,0,0,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
0,2,2,0,0,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
0,3.8,0,0,1.9,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
0,3.8,0,0,0,0,0,0,51.4,1596911616,834293760,397082624,3135877120,1332359168,0
1.9,3.8,0,0,0,0,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,2,0,0,1.9,0,3.7,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,2,0,0,0,0,1.9,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
1.9,1.9,2,0,1.9,0,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
1.9,0,3.8,0,0,0,1.9,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,0,3.9,0,0,1.9,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
2,0,2,0,0,0,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,0,2,0,0,0,1.9,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
3.8,0,3.8,0,0,1.9,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,0,3.9,0,0,0,0,0,51.4,1596911616,834293760,397090816,3135868928,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,3.8,0,0,0,3.8,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,3.8,0,3.8,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
1.9,0,3.8,0,1.9,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,2,0,0,0,2,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,3.9,0,0,0,1.9,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,3.8,0,1.9,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,2,0,1.9,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,3.8,0,1.9,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596895232,834301952,397099008,3135877120,1332359168,0
0,0,2,0,1.9,0,0,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
1.9,0,2,0,1.9,0,0,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
0,0,2,0,0,0,1.9,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
2,0,2,0,0,0,0,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
1.9,0,3.8,0,1.9,0,0,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
0,0,2,0,0,0,2,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
2,0,2,0,5.7,0,0,0,51.4,1596887040,834301952,397107200,3135877120,1332359168,0
0,0,3.9,0,5.5,0,0,0,51.4,1596887040,834318336,397107200,3135877120,1332359168,0
2,0,2,0,0,0,0,0,51.4,1596887040,834318336,397107200,3135877120,1332359168,0
0,0,2,0,3.8,0,1.9,0,51.4,1596887040,834318336,397115392,3135868928,1332359168,0
0,0,3.8,0,0,0,2,0,51.4,1596887040,834318336,397115392,3135868928,1332359168,0
0,0,0,0,0,0,0,0,51.4,1596878848,834318336,397115392,3135877120,1332359168,0
0,0,3.9,0,1.9,0,0,0,51.4,1597136896,834318336,397115392,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1597136896,834318336,397115392,3135877120,1332359168,0
3.8,0,5.8,1.9,1.9,1.9,3.8,0,51.4,1597136896,834318336,397115392,3135877120,1332359168,0
2,0,3.8,0,0,0,0,0,51.4,1596878848,834318336,397115392,3135877120,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596878848,834318336,397115392,3135877120,1332359168,0
1.9,0,2,0,0,0,0,0,51.4,1596878848,834318336,397115392,3135877120,1332359168,0
0,0,3.8,0,1.9,1.9,1.9,0,51.4,1596878848,834318336,397115392,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596878848,834318336,397115392,3135877120,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596878848,834318336,397115392,3135877120,1332359168,0
0,0,3.8,0,0,0,1.9,0,51.4,1596878848,834318336,397123584,3135868928,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596878848,834318336,397123584,3135868928,1332359168,0
0,0,3.9,0,0,0,0,0,51.4,1596878848,834318336,397123584,3135868928,1332359168,0
3.8,0,2,0,0,0,0,1.9,51.4,1596878848,834318336,397123584,3135868928,1332359168,0
0,0,2,0,3.8,0,0,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
2,0,2,0,0,0,0,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
0,0,3.8,0,0,0,1.9,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
0,0,3.8,0,0,1.9,0,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
0,0,2,0,2,0,0,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
1.9,0,3.9,0,0,0,0,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
1.9,0,3.8,0,0,0,1.9,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
1.9,0,3.8,0,0,0,0,0,51.4,1596870656,834334720,397123584,3135877120,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596870656,834334720,397131776,3135868928,1332359168,0
3.8,0,3.8,0,0,0,0,0,51.4,1596870656,834334720,397131776,3135868928,1332359168,0
1.9,0,3.8,0,1.9,1.9,3.8,0,51.4,1596870656,834334720,397131776,3135868928,1332359168,0
0,0,3.8,0,0,1.9,0,0,51.4,1596870656,834334720,397131776,3135868928,1332359168,0
0,0,2,0,0,1.9,0,0,51.4,1596870656,834334720,397131776,3135868928,1332359168,0
1.9,0,3.9,0,0,0,0,0,51.4,1596882944,834330624,397131776,3135868928,1332359168,0
0,0,5.7,0,0,0,0,0,51.4,1596874752,834338816,397131776,3135877120,1332359168,0
1.9,0,5.7,0,0,0,0,0,51.4,1596874752,834338816,397131776,3135877120,1332359168,0
0,0,3.8,0,1.9,0,0,0,51.4,1596874752,834338816,397131776,3135877120,1332359168,0
1.9,0,3.8,0,0,0,0,0,51.4,1596874752,834338816,397131776,3135877120,1332359168,0
0,0,3.9,0,0,0,0,0,51.4,1596874752,834338816,397131776,3135877120,1332359168,0
0,0,2,0,0,1.9,1.9,0,51.4,1596874752,834342912,397139968,3135868928,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596874752,834342912,397139968,3135868928,1332359168,0
1.9,0,2,0,0,0,1.9,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
1.9,0,3.8,0,80.4,0,0,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
2,0,2,0,66.7,0,0,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
0,0,3.8,0,0,0,3.8,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
0,0,3.9,0,0,0,1.9,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
0,0,2,0,0,0,2,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
1.9,0,2,0,1.9,0,0,1.9,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
0,0,2,0,0,0,1.9,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
0,0,3.8,0,0,0,0,0,51.4,1596866560,834342912,397139968,3135877120,1332359168,0
0,0,3.8,0,0,0,1.9,0,51.4,1596866560,834342912,397148160,3135868928,1332359168,0
0,0,2,1.9,0,0,1.9,0,51.4,1596858368,834342912,397148160,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596858368,834342912,397148160,3135877120,1332359168,0
0,0,2,0,0,0,0,0,51.4,1596858368,834342912,397148160,3135877120,1332359168,0
